model_id,policy,seed,round,hv,igd
i01o_m1,parego,13,5,0.8583237623601202,0.04749257664065456
i01o_m1,parego,13,6,0.8585157486822521,0.04704388352824682
i01o_m1,parego,13,7,0.8585157486822521,0.04704388352824682
i01o_m1,parego,13,8,0.9133516525747865,0.01089838863713464
i01o_m1,parego,13,9,0.9133516525747865,0.01089838863713464
i01o_m1,parego,13,10,0.9133516525747865,0.01089838863713464
i01o_m1,parego,13,11,0.9200602505413294,0.02709323870641951
i01o_m1,parego,13,12,0.9200602505413294,0.02709323870641951
i01o_m1,parego,13,13,0.9200602505413294,0.02709323870641951
i01o_m1,parego,13,14,0.9200602505413294,0.02709323870641951
i01o_m1,parego,13,15,0.9273316394412836,0.024714319307920313
i01o_m1,parego,13,16,0.9273316394412836,0.024714319307920313
i01o_m1,parego,13,17,0.9273316394412836,0.024714319307920313
i01o_m1,parego,13,18,0.9273316394412836,0.024714319307920313
i01o_m1,parego,13,19,0.9273316394412836,0.024714319307920313
i01o_m1,parego,13,20,0.9273316394412836,0.024714319307920313
i01o_m1,parego_seed,11,1,0.8234846050026949,0.077586512573819
i01o_m1,parego_seed,11,2,0.843433334505915,0.05948335245704578
i01o_m1,parego_seed,11,3,0.843433334505915,0.05948335245704578
i01o_m1,parego_seed,11,4,0.8480566418961233,0.056142471397986345
i01o_m1,parego_seed,11,5,0.8481394855058751,0.056142471397986345
i01o_m1,parego_seed,11,6,0.8481394855058751,0.056142471397986345
i01o_m1,parego_seed,11,7,0.8481394855058751,0.056142471397986345
i01o_m1,parego_seed,11,8,0.9250547113730475,0.02540655730073681
i01o_m1,parego_seed,11,9,0.9250547113730475,0.02540655730073681
i01o_m1,parego_seed,11,10,0.9250547113730475,0.02540655730073681
i01o_m1,parego_seed,11,11,0.9250547113730475,0.02540655730073681
i01o_m1,parego_seed,11,12,0.9250547113730475,0.02540655730073681
i01o_m1,parego_seed,11,13,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,11,14,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,11,15,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,11,16,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,11,17,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,11,18,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,11,19,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,11,20,0.9263595067101686,0.025012515364591096
i01o_m1,parego_seed,12,1,0.8234846050026949,0.077586512573819
i01o_m1,parego_seed,12,2,0.8234846050026949,0.077586512573819
i01o_m1,parego_seed,12,3,0.8250849813680207,0.077586512573819
i01o_m1,parego_seed,12,4,0.8250849813680207,0.077586512573819
i01o_m1,parego_seed,12,5,0.8542699150344972,0.05010543910485484
i01o_m1,parego_seed,12,6,0.8542699150344972,0.05010543910485484
i01o_m1,parego_seed,12,7,0.8542699150344972,0.05010543910485484
i01o_m1,parego_seed,12,8,0.8542699150344972,0.05010543910485484
i01o_m1,parego_seed,12,9,0.8543467960459478,0.05010543910485484
i01o_m1,parego_seed,12,10,0.8724523204542693,0.03801960491539467
i01o_m1,parego_seed,12,11,0.8724523204542693,0.03801960491539467
i01o_m1,parego_seed,12,12,0.9263595067101686,0.025012515364591096
