model_id,policy,seed,valid_trials,invalid_trials,valid_rate,hv_auc,hv_final,igd_auc,igd_final,hv_5,hv_10,hv_20,wall_seconds,mesh_invalid,mesh_failure
i07o_m7,qlogehvi_mixed_seed,11,19,1,0.95,0.832965908404136,0.8461563976509979,0.08911706950663045,0.0772877462039812,0.8205748918513207,0.836147358648177,0.8461563976509979,151.93077210000774,1,0
i07o_m7,qlogehvi_mixed_seed,12,18,2,0.9,0.8986360293365543,0.9246669877564619,0.02509405201349841,3.9630356748306594e-05,0.8150382377498341,0.9246110481792136,0.9246669877564619,166.1357329000166,2,0
i07o_m7,qlogehvi_mixed_seed,13,19,1,0.95,0.8981124480849939,0.9251163720421223,0.025625977648354732,4.3295075890371825e-05,0.814854380731446,0.9247248455255986,0.9251163720421223,154.83160130000033,1,0
i07o_m7,random,11,16,4,0.8,0.8041920143299126,0.8364423937519143,0.09205573160179806,0.08508800827353627,0.8205748918513207,0.8364414467042792,0.8364423937519143,184.50910229999863,4,0
i07o_m7,random,12,13,7,0.65,0.7988798832501387,0.8448731936508592,0.12019253654955386,0.07485426618990296,0.791555839057491,0.791555839057491,0.8448731936508592,185.31582299999718,7,0
i07o_m7,random,13,15,5,0.75,0.8421003252629226,0.8651129225842403,0.0783466081725728,0.0570114053430262,0.8112774164144315,0.8436526108043647,0.8651129225842403,183.5891620999464,5,0
i07o_m7,random_seed,11,17,3,0.85,0.829425758726501,0.8364423937519143,0.09188616308639877,0.08508800827353627,0.8205748918513207,0.8364414467042792,0.8364423937519143,193.71222479999415,3,0
i07o_m7,random_seed,12,13,7,0.65,0.8172758641453811,0.8455265039746241,0.10324982321198681,0.07485426618990296,0.814854380731446,0.814854380731446,0.8455265039746241,189.915210200008,7,0
i07o_m7,random_seed,13,15,5,0.75,0.8433365047430147,0.8651129225842403,0.07783441557342988,0.0570114053430262,0.814854380731446,0.8443676866659305,0.8651129225842403,177.54671469997265,5,0
i08o_m8,parego,11,19,1,0.95,0.7196814644024085,0.7851369623704223,0.07620099937639034,0.013677266813189499,0.7032841347905624,0.7708181788036532,0.7851369623704223,162.5556403999799,1,0
i08o_m8,parego,12,20,0,1.0,0.7153539612456004,0.8016406028472939,0.07829730185979089,0.00750949839424496,0.6139979198395413,0.7099596936899037,0.8016406028472939,162.51252270002442,0,0
i08o_m8,parego,13,19,1,0.95,0.7380382887104239,0.7949102061454901,0.057036164742739294,0.008258552940430893,0.6132469910113172,0.7907596402106768,0.7949102061454901,175.7807957999612,1,0
